"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19237","test_lta_login[chrome]","testcase","Wed Aug 07 10:47:19 IST 2024","passed","Wed Aug 07 10:47:38 IST 2024","TestLogin","test_lta_login","",""
"","93783","test_lta_play[chrome]","testcase","Wed Aug 07 10:47:43 IST 2024","passed","Wed Aug 07 10:49:16 IST 2024","TestPlay","test_play_childrens_lesson","",""
